,name,calories,carbohydrate,total_fat,protein,cluster,name_encoded
215,Bean-Dip-a-La-Dr-Pepper,344.1,33.1,16.8,17.4,0,19
216,Cranberry-Fruit-Nut-Bread,308.9,53.7,8.6,5.6,0,72
217,Kasha-Patate-Sucree-or-Kasha-Pilaf-With-Sweet-Potato-Puree-and-a,281.8,43.5,9.8,7.0,0,1514
218,Vegetable-Biryani,336.7,58.6,8.9,7.6,0,31
219,Banana-Bread-3,290.5,50.0,8.7,4.4,0,38
220,Sweet--N--Sour-Sauced-Pork,285.3,29.2,11.2,17.5,0,28
221,Surprise-Rice,471.8,62.6,17.9,12.9,0,391
222,Hot-Cherry-Fruit-Compote,320.1,64.3,6.0,1.6,0,43
223,Hearty-Garden-Broccoli-Soup,253.7,46.5,4.1,9.0,0,237
224,Vegetable-Chili-II,226.8,46.4,3.7,9.9,0,31
225,Pasta-Al-Pesto,309.9,36.3,14.0,11.0,0,25
226,Pasta-with-Ricotta-Walnut-Sauce,437.4,48.4,20.1,17.0,0,25
227,Herbed-Macaroni-Parmesan,375.1,44.7,14.9,15.1,0,219
228,Bara-Brith--Currant-Bread--Welsh,416.4,68.3,12.8,7.0,0,2139
229,Pennsylvania-Dutch-Shoo-Fly-Pie,301.7,48.6,11.0,2.9,0,1040
230,French-Pear-Pie,441.5,69.0,18.0,4.2,0,124
231,Barbecued-Beef-on-Buns,313.7,44.6,6.8,20.4,0,284
232,Broccoli-and-Mushroom-Dip,434.3,29.4,23.8,31.1,0,40
233,Zaney-s-Simple-Garlickly-Baked-Chicken,252.2,22.6,8.5,20.1,0,2141
234,Chicken-Etouffee,309.4,43.2,6.7,17.1,0,7
235,Chicken-Risotto,342.4,60.4,2.6,17.1,0,7
236,Chinese-Pasta-Salad,273.5,39.7,7.6,10.4,0,214
237,Cold-Potato-Salad,321.3,68.1,2.8,7.9,0,622
238,Creamy-Chicken-Casserole-Low-Cal--Low-Fat,426.4,90.5,1.7,11.8,0,59
239,Fiesta-Hot-Chocolate,259.8,36.2,10.4,10.3,0,517
240,Garden-Pasta,326.2,66.7,1.5,11.7,0,283
241,Grouper--amp--Horseradish-Sauce,213.7,6.6,10.6,22.6,0,1518
242,Macaroni-Bake--Low-Cal-,375.6,52.5,8.1,22.0,0,131
243,Manitoba-Wild-Rice,288.2,38.3,11.9,9.4,0,2144
244,Chocolate-Mayonnaise-Sheet-Cake,257.8,53.5,3.9,3.0,0,6
245,Pasta-Salad-with-Chicken-and-Artichokes,384.8,70.9,5.9,14.2,0,25
246,Pork-with-Vegetables-and-Cashews,346.1,29.4,18.8,19.3,0,128
247,Spiced-Chocolate-Applesauce-Cake,293.9,46.1,10.9,5.2,0,183
248,Mediterranean-White-Bean-Soup,342.4,59.5,4.2,19.1,0,303
249,Black-Bean-Dip,266.6,38.0,7.0,14.6,0,66
250,Chow-Mein-on-a-Bun,312.7,37.2,10.5,17.6,0,1042
251,Beef-and-Lentil-Stew,216.5,16.9,8.0,20.1,0,47
252,Chicken-Enchilada-Casserole,344.4,42.3,14.1,13.9,0,7
253,Chicken-Kabobs,349.3,31.2,12.2,20.6,0,7
254,Easy-Milky-Way-Pie,431.7,64.0,18.5,4.8,0,24
255,Marshmallow-Meringue--Apple-Pie,271.4,54.5,5.5,2.6,0,426
256,Harvest-Vegetable-Curry,462.1,90.9,6.2,12.1,0,519
257,Chickpea-Zucchini-Curry,473.7,82.5,9.7,17.3,0,304
258,Audrey-s-Oriental-Chicken,315.2,39.8,10.3,16.7,0,1224
259,Chicken-Fajitas-II,392.6,36.0,18.2,20.9,0,7
260,Chicken-Vegetable-Pot-Pie---Pies,314.5,38.6,9.1,20.1,0,7
261,Curried-Chicken-Dinner,312.8,39.4,8.1,19.0,0,155
262,Marions-Best-Ever-Apple-Pie,326.3,57.5,9.8,4.2,0,2145
263,Savory-Oven-French-Fries,306.5,55.9,7.1,6.5,0,451
264,Soda-Bread--Irish-Whiskey-Soda-,363.9,65.2,6.4,6.6,0,427
265,Tropical-Chicken-Kabobs,249.7,26.5,9.2,17.0,0,293
266,Baked-Zucchini-Boats,274.1,35.4,9.4,12.1,0,23
