,name,calories,carbohydrate,total_fat,protein,cluster,name_encoded
5711,Light-Almond-Macaroons-for-Passover,173.8,12.8,12.2,6.0,1,401
5712,Chicken-and-French-Onion-Casserole,153.1,11.8,10.4,3.5,1,7
5713,Lemon-Coconut-Muffins,147.6,22.4,5.4,4.2,1,37
5714,Apple-Raisin-Muffins,229.4,29.7,10.6,3.2,1,20
5715,Avocado-Citrus-Salad,123.4,15.2,7.5,1.8,1,139
5716,Homestyle-Minestrone-Soup,143.4,28.2,2.1,5.6,1,1356
5717,Lemon-Chili-Chicken-With-Penne,191.6,25.6,3.1,15.7,1,37
5718,Passover-Low-Fat-Granola,155.6,17.6,9.8,1.6,1,1023
5719,Rosemary-Flatbread,221.7,37.0,5.6,5.2,1,207
5720,Beef-and-Cabbage-Steamed-Buns,179.5,19.8,6.5,12.6,1,47
5721,Lhassi--Indian-Yoghurt-Drink-,158.7,19.7,4.3,10.5,1,3448
5722,German-Tomato-Salad,127.9,28.9,1.0,5.0,1,242
5723,Milk-Chocolate-Bubble-Ring,140.9,18.2,6.8,1.9,1,244
5724,Cheesy-Baked-Potato,101.3,18.7,2.2,2.2,1,119
5725,Martin-s-Mum-s-Gingernuts,145.1,22.7,5.5,2.0,1,3449
5726,New-Mexican-Gazpacho-Pasta-Salad,148.2,29.8,1.2,5.1,1,216
5727,Best-Brownies,130.6,16.7,6.6,1.6,1,108
5728,Peanut-Butter-Honey-Muffins,164.9,18.0,9.2,3.9,1,36
5729,Pizza-Salad,192.9,17.1,11.2,6.7,1,74
5730,Sesame-Ginger-Couscous,227.9,38.5,4.9,7.4,1,227
5731,Amazon-Cake,217.8,44.9,3.5,3.1,1,3452
5732,Cocktail-Sausages-and-Meatballs,164.3,13.3,9.1,6.4,1,266
5733,Mayonnaise-Chocolate-Cake,147.0,33.6,0.4,2.5,1,425
5734,Tuna-Pasta-Salad,238.3,36.6,7.0,7.5,1,80
5735,Antipasto-Bean-Salad,140.5,21.4,2.1,9.6,1,643
5736,Mocha,161.2,30.9,1.5,5.4,1,486
5737,Raspberry-Spritzers,101.7,3.2,0.0,0.1,1,107
5738,Viennese-Cakes,157.5,15.3,10.3,1.2,1,1882
5739,Happy-Trails-Hiking-Mix,229.7,34.9,9.3,5.8,1,1198
5740,Creole-Sauce,173.2,41.7,0.3,2.6,1,445
5741,Spinach-and-Black-Bean-Quesadillas,118.7,8.9,7.8,4.0,1,41
5742,Rainbow-Blondies,195.7,23.2,11.6,2.1,1,844
5743,Hot-Dog-Bake,219.3,41.4,4.2,4.7,1,43
5744,Tuna-and-Rice,180.8,39.0,0.6,3.6,1,80
5745,Mary-s-Zucchini-Bread,231.2,30.0,11.3,3.0,1,422
5746,Zucchini-and-Carrot-Curry,179.6,24.7,8.3,6.1,1,65
5747,Braised-Green-Beans,185.5,18.1,12.3,4.4,1,417
5748,Black-Eyed-Beans-and-Broccoli,230.7,32.2,8.7,11.2,1,66
5749,Really-Easy--Really-Great-Spaghetti-Sauce,208.7,5.4,15.7,11.5,1,931
5750,Roasted-Salsa,176.5,38.3,2.2,7.1,1,49
5751,Vermicelli-Upma,103.2,9.0,7.1,2.0,1,672
5752,Hot-Cabbage-Slaw-Soup,114.0,15.2,4.5,4.1,1,43
5753,Hungarian-Cabbage--amp--Noodles,225.4,20.5,13.4,6.5,1,711
5754,Corn-Pones,225.7,37.7,6.8,5.0,1,35
5755,Best-Ever-Eggless-Banana-Oatmeal-Muffins,141.2,30.9,0.7,3.3,1,108
5756,Sauteed-Peaches-with-Vanilla-Ice-Cream,233.0,32.8,11.0,3.3,1,362
5757,Butter-Tarts,123.1,20.1,4.2,2.3,1,29
5758,Warm-Curried-Vegetables,225.8,38.0,8.0,6.7,1,247
5759,Hugs-and-Kisses-Crescents,186.9,30.1,5.7,3.7,1,3459
5760,Tzatziki-Sauce,191.1,11.8,12.1,10.2,1,1961
5761,Harmony-Tahini-Salad-Dressing,105.4,2.4,10.4,1.5,1,3460
5762,Crab-Dip,103.6,1.9,8.6,4.9,1,191
5763,Stuffed-Cabbage-Rolls,190.5,19.6,8.8,9.4,1,61
5764,Raspberry-Squares,125.6,17.6,5.9,1.2,1,107
5765,Midnight-Mints,136.7,14.9,8.8,1.3,1,3461
5766,Susan-s-Best-Potato-Salad,166.9,33.4,2.4,3.9,1,1107
5767,Mushroom-Spring-Rolls,234.1,24.2,13.4,5.6,1,60
5768,Salad-With-Eight-Fruits,127.3,32.3,0.5,1.5,1,1
5769,Custard-Squares,101.7,13.0,5.3,0.9,1,530
5770,Glazed-Carrots-For-Two,166.8,28.4,6.1,1.3,1,213
5771,Healthy-Banana-Muffins,134.1,21.3,5.0,3.3,1,249
5772,Strawberry-Streusel-Muffins,208.5,32.1,7.2,4.0,1,68
5773,Applesauce-Cake,138.6,22.1,5.1,1.6,1,212
5774,Raspberry-Poke-Cake,267.3,39.9,10.7,3.4,1,107
5775,Mark-s-Mashed-Potatoes,113.8,14.3,5.5,2.5,1,1100
5776,Craisin-Clusters,198.7,25.7,12.0,2.4,1,1012
5777,Crisp-Onion-Roasted-Potatoes,212.4,22.4,13.0,2.7,1,177
5778,Chicken-And-Asparagus-Pastries,119.4,9.3,8.3,1.9,1,7
5779,Scottish-Raspberry-Buns,112.3,14.2,5.5,1.6,1,418
5780,Quick-Vegetable-Beef-Soup,149.3,18.0,4.6,10.8,1,84
5781,Emeril-Lagasse-s-Barbecued-Pulled-Pork-Sandwiches,241.0,44.3,3.6,6.4,1,905
5782,Katie-s-Chocolate-Chip-Cookies,147.1,19.1,7.8,1.4,1,1893
5783,Devon-Flats,136.0,23.8,3.4,2.6,1,3463
5784,Hawaiian-Banana-Bars,104.8,17.1,3.7,1.4,1,299
5785,Chaimen--an-Armenian-Spice-Rub---Use-for-Basterma-,179.1,36.8,6.4,8.5,1,3465
5786,Banana-Chocolate-Spring-Rolls,119.0,16.2,6.0,1.4,1,38
5787,Hot-Artichoke-Dip,106.5,8.6,5.0,8.2,1,43
5788,Chicken-Manicotti-With-Chive-Cream-Sauce,178.4,6.3,15.1,5.8,1,7
5789,Newcastle-Potted-Salmon,149.4,1.0,11.6,10.1,1,3467
5790,Glace-Cherry-Corn-Flake-Cookies,143.4,15.9,8.2,1.8,1,1965
5791,Brandied-Peach-Dessert,177.4,17.7,7.9,2.5,1,735
5792,Savoury-Tomato-and-Basil-Scones,216.7,31.5,7.7,4.9,1,998
5793,Banana-Bavarian-Cream,167.6,41.4,0.2,2.3,1,38
5794,Easter-Biscuits,148.7,19.3,6.6,2.1,1,712
5795,Protein-Fruit-Smoothie,199.6,37.7,2.7,9.1,1,912
5796,Best-Ever-Homemade-Chili-Powder,101.8,19.3,3.9,4.2,1,108
5797,Yummy-Cappuccino-Bars,128.7,22.5,4.0,1.6,1,231
5798,Green-Beans-With-Water-Chestnuts,183.9,19.3,11.8,3.5,1,44
5799,Anise-Flavoured-Beetroot-Salad,189.0,1.8,20.3,0.2,1,981
5800,Cuppa-Slice,210.5,26.7,11.4,2.4,1,3468
5801,Dandy-Sweet-and-Sour-Sauce,167.4,40.6,0.1,1.5,1,1946
5802,Easy-Bean-Dip,192.8,8.3,12.3,12.6,1,24
5803,Apricot-Bars,218.3,29.7,10.4,3.0,1,163
5804,Brown-Potatoes,169.2,23.1,7.0,4.5,1,175
5805,Vodka-Lemon-Slush,190.9,35.5,0.1,0.3,1,1950
5806,Mom-s-Blueberry-Cake,177.0,27.2,6.7,2.5,1,169
5807,French-Madeleines,112.8,15.2,4.9,2.0,1,124
5808,Soda-Pop-Cake,163.5,27.3,4.8,2.8,1,427
5809,Orange-Tapioca-Salad,236.7,48.6,4.8,1.4,1,34
5810,Corn-off-the-Cob-with-Chili-Butter,130.3,17.5,6.9,3.0,1,35
5811,Mock-Chicken-Noodle-Soup,169.9,25.9,4.8,6.5,1,511
5812,Chocolate-Chip-and-Peanut-Cookies,109.4,11.7,6.4,1.9,1,6
5813,Grilled-Veggies-A-La-Manda,157.1,19.3,7.6,7.3,1,83
5814,Crostata-Dough,176.8,16.7,11.7,1.7,1,3471
5815,Glorious-Beans,183.2,23.2,7.2,6.9,1,3472
5816,Zombie--1,117.3,4.7,0.1,0.3,1,3473
5817,English-Toffee-Cookies,169.6,16.9,10.9,1.8,1,386
5818,Mom-s-Coleslaw,140.5,24.1,4.7,1.2,1,169
5819,Veggie-Quiche,186.8,17.4,10.2,6.7,1,117
5820,Low-Fat-Italian-Potatoes,109.3,24.8,0.1,2.9,1,51
5821,Rhubarb-Rumble,273.6,44.8,9.3,4.0,1,156
5822,Chickpea-Curry,134.5,10.2,10.6,1.5,1,304
5823,Sauteed-Tuna-Steaks-With-Orange-Jalapeno-Relish,192.8,38.0,4.1,3.8,1,362
5824,Lemonade,111.0,29.5,0.1,0.3,1,361
5825,Creamy-Carrot-Bisque,152.9,25.2,3.7,7.4,1,59
5826,Peanut-Butter-Brownies,175.2,17.9,10.3,4.3,1,36
5827,Sausage-Wontons,185.4,27.9,4.5,7.5,1,166
5828,Sweet-and-Sour-Pasta-Salad,192.2,42.5,0.7,4.2,1,28
5829,Cheesy-Broccoli-Bake,173.6,14.6,9.4,7.8,1,119
5830,Mexican-Chocolate-Brownies-With-Cinnamon,200.4,23.2,12.0,2.5,1,87
5831,Pepper-Seared-Catfish-With-Mushrooms--Pine-Nuts--and-Pancetta,129.3,2.8,7.3,13.0,1,93
5832,Salsa-Green-Beans,105.5,8.6,7.9,2.0,1,69
5833,Cherry-Coconut-Bars,185.9,21.9,10.2,2.8,1,82
5834,Couscous-Vegetable-Salad,233.9,41.8,4.0,7.3,1,215
5835,Raisin-Scones,196.4,28.6,8.1,3.4,1,110
5836,Annie-Glenn-s-Chocolate-Chip-Cookies,119.5,15.4,6.4,1.2,1,3477
5837,Royal-Hawaiian-Mai-Tai,150.0,5.9,0.1,0.3,1,943
5838,Fancy-Fruit-Salad,112.2,28.9,0.2,0.8,1,1967
5839,Broccoli-With-Sesame-Seeds,117.0,11.0,7.3,5.2,1,40
5840,Crabbamuffins,140.5,12.8,6.4,7.8,1,3479
5841,Easter-Ham-Steaks-with-Whiskey-Sauce,143.2,7.4,8.7,0.6,1,712
5842,Spiked-Fruit-Cup,169.9,44.9,0.2,1.6,1,1456
5843,Kona-Coffee-Cup-Muffins,233.4,38.0,6.9,4.8,1,3480
5844,Green-Chile-Chicken-Soup,127.9,17.1,5.5,4.8,1,44
5845,Army-Rice,229.7,17.8,13.4,9.0,1,1856
5846,Celery-Seed-Coleslaw,114.5,27.5,0.2,1.7,1,378
5847,Grilled-Chipotle-Potato-Salad,123.8,28.1,0.2,3.4,1,83
5848,Salad-Greens-And-Mustard-Vinaigrette,136.2,3.7,13.7,0.1,1,1
5849,Jelly-Beans-Nests,139.5,15.4,8.5,1.4,1,708
5850,Banana-Chocolate-Chip-Muffins,237.3,35.0,11.1,3.4,1,38
5851,Poppy-Seed-Dressing,119.6,25.6,1.8,0.3,1,379
5852,Green-Pepper-Salad,195.8,8.7,18.3,1.5,1,44
5853,Garlic-Cheese-Bread,216.9,19.7,12.7,6.1,1,33
5854,Magical-Diabetic-Peanut-Butter-Cookies,116.3,9.6,7.5,3.8,1,1938
5855,Apple-n--Spice-Syrup-for-Pancakes,155.8,39.3,0.1,0.1,1,20
5856,Roasted-Potatoes-With-Rosemary-and-Sea-Salt,179.9,20.0,10.3,2.5,1,49
5857,Hello-Deli-Marinated-Salad,142.2,18.6,7.5,2.0,1,1126
5858,Pecan-Rolls,128.2,16.4,7.2,0.5,1,99
5859,Raspberry-Buttermilk-Muffins,178.8,26.6,6.6,3.5,1,107
5860,Maple-Syrup-Muffins,158.2,25.8,4.8,3.0,1,241
5861,Surimi-Snack,182.1,40.1,1.2,3.7,1,1816
5862,Fortune-Cookies,145.0,17.9,7.7,1.4,1,3481
5863,Oatmeal-Waffles-or-Pancakes,105.8,17.6,2.5,3.4,1,70
5864,Fruit-Cocktail-Cake,169.7,34.3,2.9,2.3,1,32
5865,Filet-Mignon-with-Rum-Butter,171.2,2.1,8.7,0.4,1,1117
5866,Catalan-Style-Cauliflower,206.1,26.6,10.3,3.5,1,3482
5867,Spicy-Popcorn,129.2,2.1,13.7,0.5,1,52
5868,Chicken-and-Sun-Dried-Tomatoes-Pizza,188.2,4.7,12.5,14.3,1,7
5869,Breakfast-Fruit-Salad,185.7,29.7,7.2,4.6,1,200
5870,Eggplant--Aubergine--Potato-Hash,223.2,27.9,10.0,7.2,1,150
5871,Swedish-Brownies,122.0,16.5,5.7,1.5,1,594
5872,Apple-Pudding,217.8,39.4,6.5,2.2,1,20
5873,Crock-Pot-Sweet-and-Sour-Cabbage,130.3,33.3,0.3,2.2,1,160
5874,Molasses-Whoopie-Pies,250.8,42.2,8.5,2.3,1,508
5875,Hot-Spinach-Salad,110.3,15.7,4.1,7.6,1,43
5876,Turkey-Mulligatawny-Soup-with-Coriander,162.3,16.7,10.6,2.2,1,126
5877,Rhubarb-Punch,123.3,31.8,0.1,0.3,1,156
5878,Veggie-Casserole,117.6,11.9,5.5,6.6,1,117
5879,Sweet-Hot-Carrots,217.5,49.1,3.0,0.9,1,28
5880,Apricot-Squares,257.2,39.2,10.5,5.0,1,163
5881,Healthy-Brownies,152.2,18.0,8.8,2.2,1,249
5882,Peanut-Butter-Cupcakes,193.1,21.8,10.9,5.0,1,36
5883,Peanut-Butter-Swirl-Brownies,177.1,26.0,7.2,4.1,1,36
5884,Coconut-Cookies,118.5,14.2,6.6,1.2,1,71
5885,Dump-It-Cake,234.5,44.5,5.9,2.6,1,590
5886,Oriental-Chicken-Salad,110.6,13.8,5.2,3.5,1,363
5887,Apple-Butter,166.3,43.1,0.2,0.3,1,20
5888,Cakes-in-a-Cone,142.1,24.2,4.8,1.6,1,265
5889,Spicy-Soya,156.3,19.6,7.5,4.5,1,52
5890,Quick-Garlic-Parmesan-Bread,233.4,30.0,9.9,5.9,1,84
5891,Country-Style-Pork-Spareribs-Barbecue-Sauce,226.6,40.0,0.1,0.9,1,348
5892,Mom-s-Navy-Bean-Soup,169.1,34.1,1.0,8.0,1,169
5893,Beef-Steaks-With-Mushroom-Sauce,131.2,2.5,13.0,1.8,1,47
5894,Acorn-Squash--amp--Bourbon-Butter,193.0,42.8,0.2,1.2,1,251
5895,Lime-Thyme-Tarragon-Pork-Chops,123.2,3.8,7.2,11.6,1,186
5896,Apple-Pudding,229.2,45.5,4.7,3.0,1,20
5897,Fresh-Spring-Fruit-Salad,169.1,42.0,1.1,2.8,1,125
5898,Coconut-Chocolate-Peaks,139.8,13.5,10.0,0.9,1,71
5899,Roasted-Red-Pepper-Cornmeal-Scones,169.7,32.5,1.5,6.2,1,49
5900,Bow-Tie-Pasta-and-Broccoli-Alfredo,195.6,34.4,2.9,9.2,1,944
5901,Minty-Peas--amp--Onions,220.0,15.8,15.7,5.3,1,1167
5902,Bavarian-Lentil-Soup,172.3,15.3,8.7,8.1,1,985
5903,Khasta-Kachoris--for-Holi,201.2,20.8,11.0,5.2,1,3483
5904,Giant-Peanut-Butter-Oatmeal-Chocolate-Chip-Cookies,239.7,29.5,12.8,5.1,1,857
5905,Kentucky-Cream-Candy,104.5,20.0,3.1,0.0,1,679
5906,Apples-and-Noodles,262.8,36.5,12.5,3.0,1,196
5907,Banana-Orange-Shake,165.6,34.7,2.4,3.7,1,38
5908,Cream-Cheese-Blonde-Brownies,168.4,24.9,5.7,4.5,1,22
5909,Best-Healthy-Banana-Bread,172.2,28.2,5.3,3.2,1,108
5910,Marinated-Artichoke-Salad,107.2,16.0,4.4,4.1,1,144
5911,Eggplant--Aubergine--Caponata,210.8,20.8,14.2,2.8,1,150
5912,Hearty-Lentil-Soup,191.4,20.3,6.5,13.6,1,237
5913,Raisin-Scones,182.9,32.2,4.6,3.3,1,110
5914,Sun-Dried-Tomato-and-Basil-Crostini,137.9,26.6,1.6,4.8,1,229
5915,Grandma-s-Hermits,167.6,23.2,7.8,2.3,1,432
5916,Broccoli-Cashew-Rice-Pilaf,243.7,32.5,10.8,5.5,1,40
5917,Warm-Beet---Potato-Soup,161.1,22.4,6.7,3.9,1,247
5918,White-Bean-Puree-with-Zucchini-and-Herbs,208.8,30.2,5.4,10.7,1,78
5919,Homemade-Corn-Dogs,224.2,15.1,14.8,8.0,1,136
5920,Mango-Macadamia-Muffins,260.7,36.0,11.7,4.0,1,185
5921,Chocolate-Easter-Nests,205.8,32.8,8.1,1.6,1,6
5922,Easter-Ham,154.8,39.7,0.1,0.1,1,712
5923,Pacific-Island-Fish-in-Coconut-Sauce,200.2,10.8,17.5,2.9,1,1503
5924,Drop-Scones--So-Easy-,179.1,26.9,6.8,3.2,1,605
5925,Orange-Almond-Salad,212.3,15.0,16.2,4.8,1,34
5926,Barley-Bean-Soup,232.1,40.5,5.4,7.6,1,287
5927,Tomatoes-Provencale,143.3,7.9,10.5,5.5,1,76
5928,Portuguese-Batatas-a-Murro,134.6,31.1,0.2,3.0,1,842
5929,Light-Scalloped-Potatoes,209.1,38.5,3.0,8.0,1,401
5930,Ham---Vegetable-Stew,151.6,14.3,6.3,10.8,1,102
5931,Leek-and-Mushroom-Bisque,189.9,29.0,6.0,7.0,1,419
5932,Apple-Lemonade,169.5,43.8,0.2,0.3,1,20
5933,French-Onion-Scallop,188.3,15.7,11.3,6.7,1,124
5934,Swiss-gartar-chicken,162.4,3.5,11.7,11.8,1,269
5935,Macaroon-Topped-Sugar-Cookies,109.5,13.7,5.9,1.1,1,896
5936,Spinach-Artichoke-Dip,207.3,7.5,13.4,16.4,1,41
5937,Page-Chamberlain-s-Green-Beans,171.1,17.2,10.6,2.9,1,3489
5938,Dixie-Hen-House-Eggplant--Aubergine-,167.4,9.9,10.4,10.1,1,3491
5939,Ginger-Green-Beans,109.1,5.2,9.8,1.6,1,98
5940,Broccoli-With-Bagna-Cauda-Sauce,160.7,20.7,4.5,12.1,1,40
5941,Diabetic-Shortbread-Wedges,120.5,9.8,8.3,1.5,1,442
5942,Razzberry-Truffles,190.7,14.2,17.9,4.2,1,3494
5943,Spicy-Herbed-Olive-Me-lange,192.0,8.6,18.5,1.4,1,52
5944,Light-Refried-Black-Beans,135.8,23.6,1.1,8.7,1,401
5945,Mushroom-Ragout,124.6,10.2,7.3,5.6,1,60
5946,Sauteed-Peas-And-Celery,120.4,11.2,7.0,3.9,1,362
5947,Delicious-Cookies,120.7,15.4,6.1,2.0,1,272
5948,Curried-Cauliflower-Cheese-Soup,177.9,32.5,3.1,7.2,1,155
5949,Asparagus-Nut-Stir-Fry,103.9,6.8,8.0,3.9,1,112
5950,Kevin-s-Aloo-Ki-Tikya,176.6,22.7,8.4,4.3,1,1569
5951,Sunshine-Fruits,181.9,44.6,0.9,2.8,1,760
5952,Texas-Millionaires,122.8,10.6,6.7,1.1,1,336
5953,Awesome-English-Tea-Scones,177.0,23.5,7.3,4.0,1,436
5954,Breakfast-Burritos,233.9,26.2,9.9,10.1,1,200
5955,Peanut-Butter-Kiss-Cookies,122.1,14.3,6.1,3.1,1,36
5956,Bleu-Cheese-Stuffed-Tomatoes,122.9,11.6,5.2,9.1,1,703
5957,Trisha-s-Pasta-Salad,175.4,35.4,0.8,6.4,1,3497
5958,Chocolate-Crunch,137.5,14.7,8.7,1.5,1,6
5959,Baked-Cauliflower-in-Cheese-Sauce,201.3,16.2,11.8,9.1,1,23
5960,Leona-s-Cabbage-Soup,110.8,23.1,1.0,6.2,1,1970
5961,Lofthouse-Cookies,132.2,18.5,5.7,1.9,1,3498
5962,Pam-s-Roasted-Vegetables,128.5,13.9,7.5,5.5,1,1894
5963,No-Bake-Chocolate-Oatmeal-Cookies,177.3,25.7,7.5,3.1,1,111
5964,Tomato-Pie,124.4,19.6,4.5,2.6,1,26
5965,Tomato-Open-Sandwiches-with-Peanut-Butter,222.7,32.2,8.1,9.5,1,26
5966,Spiced-Carrot-and-Sweet-Potato-Soup-With-Almond-and-Ginger-Matzo,185.2,18.2,10.7,7.1,1,183
5967,Spicy-Sour-Cream-Cookies,143.8,21.2,6.1,1.6,1,52
5968,russian-slice,269.8,39.0,12.3,1.3,1,479
5969,-Cream--of-Cauliflower-Soup--Vegan-,174.2,32.1,2.9,7.8,1,22
5970,Blueberry-and-Pecan-Muffins,239.6,26.3,13.8,3.8,1,90
5971,Black-Bean-Soup,163.1,29.9,1.0,10.8,1,66
5972,Spicy-crab-cakes,103.9,10.0,4.4,6.0,1,52
5973,Bruschetta-with-White-Beans--Tomatoes-and-Olives,152.3,18.2,6.5,5.4,1,309
5974,Colorful-Greek-Salad,168.1,10.3,13.5,3.2,1,1305
5975,Cheesy-meatballs,120.6,22.2,2.6,2.1,1,119
5976,Cool-Drink,103.2,27.1,0.1,0.8,1,861
5977,Mixed-Asparagus-Peppers-Saute,154.4,9.5,12.9,2.9,1,332
5978,Jellied-Cubes-of-Milk,131.7,22.7,3.0,4.3,1,1651
5979,Mushrooms-and-Leeks,228.9,25.2,12.8,6.8,1,101
5980,Herb-Polenta-Baked-in-Prosciutto,165.8,23.9,6.7,3.6,1,170
5981,Broccoli-Salad,148.3,16.7,8.3,3.7,1,40
5982,Surprise-Cookies,115.2,16.1,5.3,1.0,1,391
5983,Oatmeal-Bread,131.8,27.5,0.8,3.4,1,70
5984,Braised-Fennel-and-Onion-Pasta-Sauce,203.9,18.6,14.1,3.5,1,417
5985,Self-Filled-Cupcakes,175.7,23.7,8.7,2.4,1,906
5986,Baked-Fennel-With-Parmesan,193.8,14.0,12.9,7.8,1,23
5987,-Chinese--Candy,232.7,24.2,14.2,3.1,1,214
5988,Hawaiian-Squares,150.2,20.2,7.4,1.3,1,299
5989,Anything-Goes-Red-Salad-Dressing,207.2,11.8,18.2,0.4,1,1421
5990,no-bake-baked-beans,172.8,35.0,3.6,1.1,1,111
5991,Pizza-Cups,212.0,16.4,11.4,10.9,1,74
5992,Creamy-Parmesan-Leeks,166.8,7.4,14.0,3.8,1,59
5993,Uncle-Roger-s-Cajun-Spice,157.8,30.7,6.4,7.4,1,546
5994,Fassoulia,166.2,34.1,3.1,7.0,1,3500
5995,Onion-Dinner-Rolls,152.6,28.1,2.3,4.4,1,53
5996,Scallop-and-Shrimp-on-a-Skewer,137.8,14.5,4.8,9.0,1,560
5997,Chocolate-Date-Bars,225.5,33.3,10.3,1.9,1,6
5998,Sago-Gula-Melaka,162.8,11.6,13.5,1.3,1,3502
5999,Plethora-of-Bell-Peppers,117.6,12.3,7.3,1.5,1,3505
6000,Oven-Roasted-Potato-Balls,181.3,39.9,1.3,3.7,1,206
6001,Spanish-Rice,150.1,26.5,2.8,3.8,1,277
6002,Red-Chile-Sauce,125.7,10.0,9.4,1.9,1,48
6003,Broccoli-Raisin-Salad,204.8,25.0,10.7,4.9,1,40
6004,Tofu-Parmesan,184.7,7.8,12.6,12.9,1,141
6005,Almost-Too-Easy-Potato-Chicken-Cheese-Soup,198.8,30.4,5.4,11.0,1,1204
6006,Steak-and-Onions,148.0,11.1,11.6,1.1,1,133
6007,Black-Eyed-Pea-Salad,126.2,17.2,4.1,5.7,1,66
6008,Brie-Soup,248.8,16.8,8.1,13.8,1,535
6009,Sweet-Potato-Dressing,210.3,23.7,8.5,9.7,1,28
6010,Pumpkin-Waffles,249.5,33.8,9.0,8.5,1,56
6011,School-hot-rolls,242.6,40.7,5.9,6.3,1,3506
6012,Spinach-Basil-Stuffed-Mushrooms,126.7,13.9,3.7,8.7,1,41
6013,Creamy-Mushroom-Sauce,177.4,8.1,15.2,3.5,1,59
6014,Chunky-Tomato-Salsa,183.4,40.1,0.8,4.3,1,351
6015,Pixy-Dressing,123.4,10.9,9.2,0.2,1,3507
6016,Broiled-Seafood-Sandwiches,173.0,13.3,8.4,11.0,1,603
6017,Fruit-Salad,217.7,39.6,7.3,2.6,1,32
6018,Raspberry-Rave,148.1,26.7,4.4,2.5,1,107
6019,Bacon-and-Beer-Dressing,149.1,1.8,12.8,3.5,1,100
6020,Mutabbul,145.6,19.5,7.3,5.1,1,3508
6021,Fattoush-Bread-Salad,208.2,19.9,14.0,3.2,1,1922
6022,Spicy-Seasoned-Pickled-Beets,119.9,25.6,0.6,3.0,1,52
6023,Strawberry-Julius,161.8,33.5,2.5,2.5,1,68
6024,Double-Chocolate-Oatmeal-Cookies,109.6,14.1,5.4,1.8,1,261
6025,Green-Stuff----Lime-Jello-Fruit-Salad--,184.3,25.1,7.1,6.8,1,44
6026,Delicious-Gluten-Free-Trifle,110.3,18.6,3.6,1.1,1,272
6027,Cashew-Craisin-Crisps,113.6,10.9,7.7,2.3,1,488
6028,Scrumptious-Chicken-Salad,193.8,37.4,2.0,7.1,1,1014
6029,Gingerbread,208.5,34.1,7.2,2.4,1,431
6030,Smoked-Fish-Spread,102.6,1.6,9.9,2.4,1,313
6031,Pesto-Tomato-Toast,215.7,36.9,3.3,9.7,1,238
6032,Lemon-Basil-Carrots,101.9,12.0,6.1,1.2,1,37
6033,Nutty-Pasta,154.1,22.3,5.7,4.8,1,563
6034,Cottontail-Bunny-Salad,134.9,36.0,0.3,0.9,1,3509
6035,Tomato-Chutney,102.7,23.0,1.0,5.1,1,26
6036,Double-Quick-Dinner-Rolls,120.2,20.3,2.8,3.2,1,261
6037,Tonkatsu-Sauce,140.5,33.0,0.6,4.0,1,3510
6038,Fennel-Apple-Slaw,165.5,14.6,12.4,0.8,1,534
6039,Rhubarb-Pudding-With-Custard-Sauce,196.9,43.7,1.9,2.3,1,156
6040,Chicken-Pot-Stickers,119.4,17.0,3.4,5.2,1,7
6041,Thick-Spinach-Soup,202.1,25.7,9.8,5.7,1,1270
6042,Brandy-Cherries,264.8,43.5,10.4,3.8,1,549
6043,Fresh-Plum-Cake,222.8,33.7,8.7,3.1,1,125
6044,Melt-in-your-mouth-Cookies,120.3,9.6,8.6,1.7,1,688
6045,Blackberry-Soup-With-Peaches,196.3,47.7,1.1,3.4,1,513
6046,Deluxe-Chocolate-Marshmallow-Bars,194.2,23.3,10.8,3.4,1,900
6047,Blood-Orange-and-Fennel-Salad,187.2,16.6,13.8,1.8,1,1973
6048,Best-Marinated-Veggie-Kabobs,109.9,2.2,10.9,1.6,1,108
6049,Armenian-Rice-Pilaf,165.4,19.6,8.2,2.9,1,879
6050,Cuciadate--Italian-Fig-Cookies-,159.0,22.8,6.6,2.8,1,3511
6051,Peaches-with-Fruit-Sauce,193.8,36.1,5.6,3.0,1,408
6052,Ginger-Camembert,110.0,0.7,9.5,6.0,1,98
6053,Scalloped-Rutabaga-and-Apples,118.8,23.4,3.2,1.1,1,383
6054,Rosemary-Parmesan-Acorn-Squash-Wedges,213.1,25.4,12.2,4.4,1,207
6055,Rockier-Road-Candy,191.5,23.6,10.0,2.9,1,3512
6056,Mango-and-Vegetable-Salsa,111.0,28.5,0.6,1.9,1,185
6057,Dip-For-Corn-Chips,157.7,2.8,13.2,6.8,1,21
6058,twice-baked-bacon-and-cheese-potatoes,253.5,34.3,9.6,8.5,1,359
6059,Pineapple-and-Mandarin-Orange-Dessert,136.6,22.1,5.0,1.1,1,73
6060,Fudge,118.8,15.6,6.4,1.9,1,91
6061,Portuguese-Sweet-Bread,207.1,32.7,5.6,6.0,1,842
6062,Stuffed-Poached-Pears-with-Raspberry-Sauce,218.2,34.8,6.7,2.6,1,61
6063,Japanese-Teriyaki-Tofu,181.6,30.6,3.7,9.1,1,498
6064,Pole-Beans-and-New-Potatoes,174.8,39.7,0.2,4.6,1,1252
6065,Mango-Salsa,107.3,27.5,0.5,1.1,1,185
6066,Churros,185.3,17.4,12.2,4.2,1,3513
6067,Lemon-Pepper-Focaccia,211.6,19.0,14.0,3.1,1,37
6068,Summer-Veggie-Medley,216.5,11.1,15.3,10.5,1,137
6069,Tomato-Artichoke-Salad-with-Orange,196.9,20.9,12.6,3.7,1,26
